Unnamed: 0,chicken,egg,timestamp
1,468491,3581,2019-04-30
2,449743,3532,2019-05-31
3,436815,3327,2019-06-30
4,444523,3255,2019-07-31
5,433937,3156,2019-08-31
6,389958,3081,2019-09-30
7,403446,3166,2019-10-31
8,423921,3443,2019-11-30
9,389624,3424,2019-12-31
10,418591,3561,2020-01-31
11,438288,3640,2020-02-29
12,422841,3840,2020-03-31
13,476935,4456,2020-04-30
14,542047,5000,2020-05-31
15,582197,5366,2020-06-30
16,516497,5154,2020-07-31
17,523227,5130,2020-08-31
18,467217,5077,2020-09-30
19,499644,5032,2020-10-31
20,430876,5148,2020-11-30
21,456549,5404,2020-12-31
22,430988,5322,2021-01-31
23,426555,5323,2021-02-28
24,398156,5307,2021-03-31
25,396776,5402,2021-04-30
26,390708,5407,2021-05-31
27,383690,5500,2021-06-30
28,391363,5442,2021-07-31
29,374281,5442,2021-08-31
30,387002,5542,2021-09-30
31,369484,5339,2021-10-31
32,366082,5358,2021-11-30
33,377392,5403,2021-12-31
34,375575,5345,2022-01-31
35,382262,5435,2022-02-28
36,394118,5474,2022-03-31
37,393019,5540,2022-04-30
38,428746,5836,2022-05-31
39,425158,5777,2022-06-30
40,422096,5629,2022-07-31
41,433280,5704,2022-08-31
42,421763,5806,2022-09-30
43,404191,5742,2022-10-31
44,408769,5502,2022-11-30
45,394101,5461,2022-12-31
46,379754,5382,2023-01-31
47,378361,5377,2023-02-28
48,386518,5408,2023-03-31
49,396933,5608,2023-04-30
50,400585,5777,2023-05-31
51,392110,5825,2023-06-30
52,384838,5625,2023-07-31
53,378609,5800,2023-08-31
54,364584,5656,2023-09-30
